SiO2;Al2O3;Fe2O3;CaO;MgO;Na2O;K2O;SO3;Fine modulus (m2/kg);Specific gravity;Cement (kg/m3);FA (kg/m3);GGBFS (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg/m3);Na2SiO3 (liquid);NaOH (liquid);Total solution;Na2O (l);SiO2 (l);Superplasticizer;water -eff;Initial curing time (day);Initial curing temp (°C);28-d cubic compressive strength (MPa);Slump (mm)
60;22,7;4,6;4,5;1;0,7;2;0,5;350;2,4;0;480;0;960;720;1680;36;204;36;8,2;27;0;127,776;2;90;50,5723;188
58,519;22,0175;4,561;6,569;1,2195;0,691;1,9155;0,5455;348,5;2,42;0;456;24;960;720;1680;36;204;36;8,2;27;0;127,776;2;90;52,4623;163
57,038;21,335;4,522;8,638;1,439;0,682;1,831;0,591;347;2,44;0;432;48;960;720;1680;36;204;36;8,2;27;0;127,776;2;90;54,038;149
55,557;20,6525;4,483;10,707;1,6585;0,673;1,7465;0,6365;345,5;2,46;0;408;72;960;720;1680;36;204;36;8,2;27;0;127,776;2;90;54,9791;138
53,59;28,46;8,71;4,23;1,84;0,58;1,63;0,96;272;2,33;0;310;0;1204;649;1853;122;49;122,1428571;16,2;34,72;6,2;92,982;1;80;44,876;80
52,091;27,3215;8,4275;7,152;1,797;0,565;1,5865;0,912;273,75;2,3695;15,5;294,5;0;1204;649;1853;122;49;122,1428571;16,2;34,72;6,2;92,982;1;80;47,8512;74
50,592;26,183;8,145;10,074;1,754;0,55;1,543;0,864;275,5;2,409;31;279;0;1204;649;1853;122;49;122,1428571;16,2;34,72;6,2;92,982;1;80;55,0413;65
49,093;25,0445;7,8625;12,996;1,711;0,535;1,4995;0,816;277,25;2,4485;46,5;263,5;0;1204;649;1853;122;49;122,1428571;16,2;34,72;6,2;92,982;1;80;60,4959;59
47,594;23,906;7,58;15,918;1,668;0,52;1,456;0,768;279;2,488;62;248;0;1204;649;1853;122;49;122,1428571;16,2;34,72;6,2;92,982;1;80;64,7107;55
46,095;22,7675;7,2975;18,84;1,625;0,505;1,4125;0,72;280,75;2,5275;77,5;232,5;0;1204;649;1853;122;49;122,1428571;16,2;34,72;6,2;92,982;1;80;63,719;52
44,596;21,629;7,015;21,762;1,582;0,49;1,369;0,672;282,5;2,567;93;217;0;1204;649;1853;122;49;122,1428571;16,2;34,72;6,2;92,982;1;80;61,7355;50
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,8;774;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;0;25;33,8369;95
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,8;774;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;0;25;36,1631;102
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,8;774;1864,8;141,4285714;56,57142857;141,4285714;11,5;30;14,4;129,8442857;0;25;31,0876;115
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,8;774;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;0;25;25,8006;180
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;966;810,6;1776,6;135;54;135;11,5;30;16,8;125,775;0;25;36,7598;84
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;966;810,6;1776,6;150;60;150;11,5;30;16,8;138,63;0;25;38,1285;100
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;966;810,6;1776,6;165;66;165;11,5;30;16,8;151,485;0;25;26,2011;111
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;294;126;966;810,6;1776,6;180;72;180;11,5;30;16,8;164,34;0;25;25,0279;154
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;972;760,5;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;0;25;33,8562;78
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;972;760,5;1732,5;160,7142857;64,28571429;160,7142857;11,5;30;18;148,5321429;0;25;38,8889;92
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;972;760,5;1732,5;176,7857143;70,71428571;176,7857143;11,5;30;18;162,3053571;0;25;25,6209;107
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;315;135;972;760,5;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;0;25;20,5882;146
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,8;774;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;0;25;42,2961;125
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,8;774;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;0;25;48,006;136
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,8;774;1864,8;141,4285714;56,57142857;141,4285714;11,5;30;14,4;129,8442857;0;25;46,7372;142
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;216;144;1090,8;774;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;0;25;43,3535;194
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;966;810,6;1776,6;135;54;135;11,5;30;16,8;125,775;0;25;46,1453;102
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;966;810,6;1776,6;150;60;150;11,5;30;16,8;138,63;0;25;51,4246;115
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;966;810,6;1776,6;165;66;165;11,5;30;16,8;151,485;0;25;44,581;135
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;252;168;966;810,6;1776,6;180;72;180;11,5;30;16,8;164,34;0;25;46,5363;170
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;972;760,5;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;0;25;45,7516;83
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;972;760,5;1732,5;160,7142857;64,28571429;160,7142857;11,5;30;18;148,5321429;0;25;50,7843;106
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;972;760,5;1732,5;176,7857143;70,71428571;176,7857143;11,5;30;18;162,3053571;0;25;41,8627;118
49,69;23,918;2,87;15,44;3,906;0,132;0,21;0,36;398,4;2,462;0;270;180;972;760,5;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;0;25;45,7516;155
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,8;774;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;0;25;55,4079;175
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,8;774;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;0;25;59,6375;184
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,8;774;1864,8;141,4285714;56,57142857;141,4285714;11,5;30;14,4;129,8442857;0;25;51,6012;195
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;180;180;1090,8;774;1864,8;154,2857143;61,71428571;154,2857143;11,5;30;14,4;140,8628571;0;25;46,5257;225
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;966;810,6;1776,6;135;54;135;11,5;30;16,8;125,775;0;25;56,7039;148
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;966;810,6;1776,6;150;60;150;11,5;30;16,8;138,63;0;25;60,419;162
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;966;810,6;1776,6;165;66;165;11,5;30;16,8;151,485;0;25;46,5363;171
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;210;210;966;810,6;1776,6;180;72;180;11,5;30;16,8;164,34;0;25;47,514;205
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;972;760,5;1732,5;144,6428571;57,85714286;144,6428571;11,5;30;18;134,7589286;0;25;48,9542;96
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;972;760,5;1732,5;160,7142857;64,28571429;160,7142857;11,5;30;18;148,5321429;0;25;58,3333;111
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;972;760,5;1732,5;176,7857143;70,71428571;176,7857143;11,5;30;18;162,3053571;0;25;48,4967;135
47,085;23,265;2,525;18,3;4,57;0,11;0,175;0,45;403;2,535;0;225;225;972;760,5;1732,5;192,8571429;77,14285714;192,8571429;11,5;30;18;176,0785714;0;25;47,5817;185
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,8;774;1864,8;115,7142857;46,28571429;115,7142857;11,5;30;14,4;107,8071429;1;60;41,4502;95
52,295;24,571;3,215;12,58;3,242;0,154;0,245;0,27;393,8;2,389;0;252;108;1090,8;774;1864,8;128,5714286;51,42857143;128,5714286;11,5;30;14,4;118,8257143;1;60;42,5076;102
