Idx_Sample,SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff,Slump (mm),CO2 (kg),fc 28-d (MPa)
1399,52.295,12.58,0.27,252,108,1090.8,774,1864.8,115.71429,13.31,34.71,14.4,107.80714,95,112.66807,33.8369
1400,52.295,12.58,0.27,252,108,1090.8,774,1864.8,128.57143,14.79,38.57,14.4,118.82571,102,120.44818,36.1631
1401,52.295,12.58,0.27,252,108,1090.8,774,1864.8,141.42857,16.26,42.43,14.4,129.84429,115,128.2283,31.0876
1402,52.295,12.58,0.27,252,108,1090.8,774,1864.8,154.28571,17.74,46.29,14.4,140.86286,180,136.00841,25.8006
1403,52.295,12.58,0.27,294,126,966,810.6,1776.6,135,15.53,40.5,16.8,125.775,84,129.53088,36.7598
1404,52.295,12.58,0.27,294,126,966,810.6,1776.6,150,17.25,45,16.8,138.63,100,138.60768,38.1285
1405,52.295,12.58,0.27,294,126,966,810.6,1776.6,165,18.98,49.5,16.8,151.485,111,147.68448,26.2011
1406,52.295,12.58,0.27,294,126,966,810.6,1776.6,180,20.7,54,16.8,164.34,154,156.76128,25.0279
1407,52.295,12.58,0.27,315,135,972,760.5,1732.5,144.64286,16.63,43.39,18,134.75893,78,137.96229,33.8562
1408,52.295,12.58,0.27,315,135,972,760.5,1732.5,160.71429,18.48,48.21,18,148.53214,92,147.68743,38.8889
1409,52.295,12.58,0.27,315,135,972,760.5,1732.5,176.78571,20.33,53.04,18,162.30536,107,157.41257,25.6209
1410,52.295,12.58,0.27,315,135,972,760.5,1732.5,192.85714,22.18,57.86,18,176.07857,146,167.13771,20.5882
1411,49.69,15.44,0.36,216,144,1090.8,774,1864.8,115.71429,13.31,34.71,14.4,107.80714,125,114.39607,42.2961
1412,49.69,15.44,0.36,216,144,1090.8,774,1864.8,128.57143,14.79,38.57,14.4,118.82571,136,122.17618,48.006
1413,49.69,15.44,0.36,216,144,1090.8,774,1864.8,141.42857,16.26,42.43,14.4,129.84429,142,129.9563,46.7372
1414,49.69,15.44,0.36,216,144,1090.8,774,1864.8,154.28571,17.74,46.29,14.4,140.86286,194,137.73641,43.3535
1415,49.69,15.44,0.36,252,168,966,810.6,1776.6,135,15.53,40.5,16.8,125.775,102,131.54688,46.1453
1416,49.69,15.44,0.36,252,168,966,810.6,1776.6,150,17.25,45,16.8,138.63,115,140.62368,51.4246
1417,49.69,15.44,0.36,252,168,966,810.6,1776.6,165,18.98,49.5,16.8,151.485,135,149.70048,44.581
1418,49.69,15.44,0.36,252,168,966,810.6,1776.6,180,20.7,54,16.8,164.34,170,158.77728,46.5363
1419,49.69,15.44,0.36,270,180,972,760.5,1732.5,144.64286,16.63,43.39,18,134.75893,83,140.12229,45.7516
1420,49.69,15.44,0.36,270,180,972,760.5,1732.5,160.71429,18.48,48.21,18,148.53214,106,149.84743,50.7843
1421,49.69,15.44,0.36,270,180,972,760.5,1732.5,176.78571,20.33,53.04,18,162.30536,118,159.57257,41.8627
1422,49.69,15.44,0.36,270,180,972,760.5,1732.5,192.85714,22.18,57.86,18,176.07857,155,169.29771,45.7516
1423,47.085,18.3,0.45,180,180,1090.8,774,1864.8,115.71429,13.31,34.71,14.4,107.80714,175,116.12407,55.4079
1424,47.085,18.3,0.45,180,180,1090.8,774,1864.8,128.57143,14.79,38.57,14.4,118.82571,184,123.90418,59.6375
1425,47.085,18.3,0.45,180,180,1090.8,774,1864.8,141.42857,16.26,42.43,14.4,129.84429,195,131.6843,51.6012
1426,47.085,18.3,0.45,180,180,1090.8,774,1864.8,154.28571,17.74,46.29,14.4,140.86286,225,139.46441,46.5257
1427,47.085,18.3,0.45,210,210,966,810.6,1776.6,135,15.53,40.5,16.8,125.775,148,133.56288,56.7039
1428,47.085,18.3,0.45,210,210,966,810.6,1776.6,150,17.25,45,16.8,138.63,162,142.63968,60.419
1429,47.085,18.3,0.45,210,210,966,810.6,1776.6,165,18.98,49.5,16.8,151.485,171,151.71648,46.5363
1430,47.085,18.3,0.45,210,210,966,810.6,1776.6,180,20.7,54,16.8,164.34,205,160.79328,47.514
1431,47.085,18.3,0.45,225,225,972,760.5,1732.5,144.64286,16.63,43.39,18,134.75893,96,142.28229,48.9542
1432,47.085,18.3,0.45,225,225,972,760.5,1732.5,160.71429,18.48,48.21,18,148.53214,111,152.00743,58.3333
1433,47.085,18.3,0.45,225,225,972,760.5,1732.5,176.78571,20.33,53.04,18,162.30536,135,161.73257,48.4967
1434,47.085,18.3,0.45,225,225,972,760.5,1732.5,192.85714,22.18,57.86,18,176.07857,185,171.45771,47.5817
1471,52.295,12.58,0.27,252,108,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,95,112.66807,33.83
1472,52.295,12.58,0.27,259,111,1081.5584,775.84155,1857.4,118.92857,13.68,35.68,14.8,110.80179,100,115.51358,34.31
1473,52.295,12.58,0.27,266,114,1070.4551,776.34486,1846.8,122.14286,14.05,36.64,15.2,113.79643,105,118.34373,34.79
1474,52.295,12.58,0.27,273,117,1057.564,775.43599,1833,125.35714,14.42,37.61,15.6,116.79107,110,121.15851,35.27
1475,52.295,12.58,0.27,280,120,1043.045,772.95498,1816,128.57143,14.79,38.57,16,119.78571,115,123.95794,35.76
1476,52.295,12.58,0.27,287,123,1026.6499,769.15012,1795.8,131.78571,15.16,39.54,16.4,122.78036,120,126.74201,36.24
1477,52.295,12.58,0.27,294,126,1010.9298,765.67018,1776.6,135,15.53,40.5,16.8,125.775,125,129.53088,36.69
1478,52.295,12.58,0.27,301,129,967.96105,795.03895,1763,138.21429,15.89,41.46,17.2,128.76964,142,132.34663,35.7
1479,52.295,12.58,0.27,308,132,969.46003,777.33997,1746.8,141.42857,16.26,42.43,17.6,131.76429,160,135.1499,34.89
1480,52.295,12.58,0.27,315,135,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18,134.75893,175,137.96229,33.81
1481,49.69,15.44,0.36,216,144,1090.8446,773.9554,1864.8,115.71429,13.31,34.71,14.4,107.80714,84,114.39607,42.32
1482,49.69,15.44,0.36,222,148,1081.5584,775.84155,1857.4,118.92857,13.68,35.68,14.8,110.80179,87,117.28958,42.95
1483,49.69,15.44,0.36,228,152,1070.4551,776.34486,1846.8,122.14286,14.05,36.64,15.2,113.79643,90,120.16773,43.58
1484,49.69,15.44,0.36,234,156,1057.564,775.43599,1833,125.35714,14.42,37.61,15.6,116.79107,93,123.03051,44.21
1485,49.69,15.44,0.36,240,160,1043.045,772.95498,1816,128.57143,14.79,38.57,16,119.78571,96,125.87794,44.85
1486,49.69,15.44,0.36,246,164,1026.6499,769.15012,1795.8,131.78571,15.16,39.54,16.4,122.78036,99,128.71001,45.48
1487,49.69,15.44,0.36,252,168,1010.9298,765.67018,1776.6,135,15.53,40.5,16.8,125.775,102,131.54688,46.08
